,address1,address2,MLS Number,delme,sale_price,County,City,Sub Div,Type,Floor Plan Description,Bdrms,Baths Full,Baths Half,Year Built,Sqft Main,SQFT MAIN SOURCE,Below Grade Finished Sq Ft,Below Grade Finished Sq Ft Source,Lot Size,School District,Fireplace?,Fireplace Description,Basement,Basement Description,Garage/Parking?,Construction,Architecture,Roof,Lot Description,In Floodplain,Inside City Limits,Street Maintenance,Central Air,Heat,Cool,Water,Sewer,zip_code,lot_size2,lot_size3
2052,7404 E 160th Terrace,"Belton, MO 64012",2204830,Map,160000,Cass,Belton,Martinwood,Single Family,Ranch,3,2,0,1950,1804,Public Record,0,Public Record,15500,Belton,N,,N,Slab,N,Wood Siding,Traditional,Composition,"City Lot, Treed",No,Yes,"Pub Maint, Paved",Y,Forced Air Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
2053,109 Maverick Circle,"Peculiar, MO 64078",2193097,Map,160000,Cass,Peculiar,Rodeo Grounds,Single Family,Ranch,3,2,0,1987,1474,Public Record,610,Other,"15,960",Raymore-Peculiar,Y,"Living Room, Masonry, Wood Burning",Y,"Egress Window, Finished, Walk Out",Y,"Board/Batten, Brick & Frame",Traditional,Composition,"Cul-De-Sac, Treed",No,Yes,Pub Maint,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64078,FALSE,TRUE
2054,1502 S King Street,"Harrisonville, MO 64701",2215508,Map,160000,Cass,Harrisonville,Parkwood,Single Family,Front/Back Split,3,2,1,1965,1120,Public Record,580,Other,80X120,Harrisonville,Y,"Family Room, Masonry, Wood Burning",Y,"Concrete, Partial, Walk Out",Y,Frame,Traditional,Composition,"City Limits, Treed",No,,Pub Maint,Y,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64701,TRUE,FALSE
2055,600 Harvey Street,"Harrisonville, MO 64701",2205670,Map,160000,Cass,Harrisonville,Harveys Add,Single Family,Ranch,3,2,0,1950,1391,Other,0,Public Record,106X79,Harrisonville,N,,N,Crawl Space,Y,Frame,Traditional,Composition,City Limits,No,Yes,Pub Maint,Y,Central Gas,Central Electric,City/Public,City/Public,64701,TRUE,FALSE
2056,1710 Lexington Road,"Pleasant Hill, MO 64080",2212734,Map,160000,Cass,Pleasant Hill,Sunnyside Add,Single Family,Ranch,3,1,0,1990,984,Public Record,984,Public Record,75X130,Pleasant Hill,N,,Y,"Concrete, Full, Garage Entrance",Y,Stone & Frame,Traditional,Composition,"City Limits, City Lot, Treed",No,Yes,Pub Maint,Y,Forced Air Gas,"Attic Fan, Central Electric",City/Public,City/Public,64080,TRUE,FALSE
2057,250 Palm Lane,"Garden City, MO 64747",2195101,Map,160000,Cass,Garden City,Gross Add,Single Family,1.5 Stories,4,2,0,1975,1632,Public Record,0,Public Record,"43,560",Sherwood,Y,"Insert, Living Room",Y,"Concrete, Not Finished, Walk Up",Y,Frame,Traditional,Composition,City Lot,No,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64747,FALSE,TRUE
2058,104 W Myrtle,"Pleasant Hill, MO 64080",2178739,Map,160000,Cass,Pleasant Hill,Millers Addition,Single Family,"Ranch, Reverse 1.5 Story",3,2,0,1920,884,Public Record,590,Owner,88X125,Pleasant Hill,N,,Y,"Concrete, Finished, Full",Y,Frame,Traditional,Composition,"City Lot, Level, Treed",Yes,Yes,"Pub Maint, Paved",Y,Forced Air Gas,Central Electric,City/Public,City/Public,64080,TRUE,FALSE
2059,805 Mulberry Street,"Belton, MO 64012",2176826,Map,160000,Cass,Belton,Belton Manor,Single Family,Raised Ranch,3,2,1,1983,1100,Public Record,500,Public Record,"7,571",Belton,Y,"Living Room, Masonry, Wood Burning",Y,"Concrete, Finished",Y,Brick Trim,Traditional,Composition,"City Limits, City Lot",No,Yes,"Pub Maint, Paved",Y,Forced Air Gas,"Attic Fan, Central Electric",City/Public,City/Public,64012,FALSE,TRUE
2060,508 S Washington Street,"Raymore, MO 64083",2204698,Map,160000,Cass,Raymore,Maplewood,Single Family,Split Entry,3,2,1,1971,1152,Public Record,480,Public Record,12012,Raymore-Peculiar,Y,Basement,,"Finished, Full, Walk Out",Y,"Brick & Frame, Wood Siding",Traditional,Composition,City Lot,Unknown,Yes,Pub Maint,Y,Central Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
2061,2000 N Lexington Street,"Harrisonville, MO 64701",2195671,Map,160000,Cass,Harrisonville,Other,Single Family,Earth Contact,3,2,0,1983,1506,Public Record,0,Public Record,2 ac,Harrisonville,Y,"Living Room, Wood Burn Stove",N,,Y,Frame,Traditional,Composition,"Acreage, City Limits, Estate Lot, Level",No,Yes,,Y,"Central Gas, Wood Burn Stove",Central Electric,City/Public,"City/Public, Septic",64701,FALSE,TRUE
2062,211 Mill Street,"Belton, MO 64012",2182877,Map,161000,Cass,Belton,George W Scott Add,Single Family,1.5 Stories,3,3,0,1910,1986,Public Record,0,Public Record,8710,Belton,Y,,Y,Concrete,Y,Metal Siding,Traditional,Composition,,No,,,Y,Central Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
2063,522 S Poseidon Way,"Raymore, MO 64083",2203090,Map,161590,Cass,Raymore,Morningview,Single Family,Ranch,2,2,0,1997,1428,Public Record,0,Public Record,5000,Raymore-Peculiar,N,,N,Slab,Y,Frame,Traditional,Composition,"City Lot, Level",No,Yes,Pub Maint,Y,"Central Electric, Heat Pump","Central Electric, Heat Pump",City/Public,City/Public,64083,FALSE,TRUE
2064,525 Sunset Lane,"Belton, MO 64012",2194748,Map,161800,Cass,Belton,Concord Hill Farm,Single Family,Side/Side Split,3,2,1,1974,1182,Public Record,802,Public Record,8750,Belton,Y,"Recreation Room, Wood Burning",Y,"Concrete, Inside Entrance, Not Finished",Y,Frame,Traditional,Composition,City Lot,Unknown,,Pub Maint,Y,Central Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
2065,702 Sun Court,"Raymore, MO 64083",2170209,Map,162000,Cass,Raymore,Morningview,Single Family,Ranch,2,2,0,1997,1364,Public Record,0,Public Record,5250,Raymore-Peculiar,N,,N,Slab,Y,Frame,Traditional,Composition,Cul-De-Sac,No,,,Y,Central Electric,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
2066,1702 Lee Lane,"Pleasant Hill, MO 64080",2174628,Map,162400,Cass,Pleasant Hill,Sunnyside Add,Single Family,Split Entry,3,1,1,1975,1088,Public Record,756,Agent,16500,Pleasant Hill,N,,Y,"Concrete, Finished, Walk Out",N,Vinyl Siding,Traditional,Composition,Treed,No,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64080,FALSE,TRUE
2067,103 Jamar Street,"Peculiar, MO 64078",2188503,Map,162500,Cass,Peculiar,Jamar Place,Single Family,Ranch,3,2,0,1978,1610,Public Record,0,Public Record,"15,510",Raymore-Peculiar,N,,Y,"Concrete, Full",Y,"Brick Veneer, Vinyl Siding",Traditional,Composition,"City Lot, Corner Lot, Treed",Unknown,,,Y,"Central Gas, Forced Air Gas","Attic Fan, Central Electric",City/Public,City/Public,64078,FALSE,TRUE
2068,84 Spruce Street,"Garden City, MO 64747",2128317,Map,162500,Cass,Garden City,Garden West,Single Family,Side/Side Split,4,3,0,1989,1152,Public Record,1152,Public Record,77X120,Sherwood,Y,Living Room,Y,Finished,Y,Lap,Traditional,Composition,City Lot,Unknown,,,Y,Central Gas,Central Electric,City/Public,City/Public,64747,TRUE,FALSE
2069,507 S Harrison Avenue,"Raymore, MO 64083",2163505,Map,162500,Cass,Raymore,Maplewood,Single Family,Split Entry,3,2,0,1977,1056,Public Record,253,Public Record,81X185,Raymore-Peculiar,N,,Y,Finished,Y,Frame,Traditional,Composition,"City Lot, Level, Treed",No,Yes,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64083,TRUE,FALSE
2070,27101 E St Rt Ee Highway,"Harrisonville, MO 64701",2195576,Map,163000,Cass,Harrisonville,Other,Single Family,1.5 Stories,5,3,1,1976,2512,RPR,0,Agent,12 ac,Harrisonville,Y,"Basement, Family Room, Wood Burning",Y,"Concrete, Not Finished, Walk Out",Y,"Brick & Frame, Frame",Traditional,Metal,"Acreage, Pond(s), Treed",Unknown,No,,N,"Heat Pump, Propane Gas",Attic Fan,City/Public,Septic,64701,FALSE,TRUE
2071,8212 E 189th Terrace,"Belton, MO 64012",2198010,Map,163000,Cass,Belton,Pickering Place,Single Family,Ranch,2,2,0,1989,1389,Public Record,0,Public Record,63X75,Raymore-Peculiar,N,,N,Slab,Y,"Board/Batten, Stone Trim",Traditional,Composition,,No,,,Y,"Baseboard, Central Electric",Central Electric,City/Public,City/Public,64012,TRUE,FALSE
2072,200 Park Avenue,"Belton, MO 64012",2207874,Map,163980,Cass,Belton,Lacy Estates,Single Family,Ranch,3,1,1,1960,1400,Public Record,0,Public Record,"10,735",Belton,N,,Y,Not Finished,Y,Board/Batten,,"Composition, Metal","City Lot, Corner Lot, Level, Treed",No,,Pub Maint,Y,Natural Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
2073,15500 Allen Avenue,"Belton, MO 64012",2172976,Map,164000,Cass,Belton,Dikewood Add,Single Family,Ranch,3,2,0,1972,1200,Public Record,600,Owner,"22,000",Belton,N,,Y,"Garage Entrance, Partial",Y,Board/Batten,Traditional,Composition,,No,,,Y,Forced Air Electric,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
2074,703 Logan Street,"Harrisonville, MO 64701",2177517,Map,164000,Cass,Harrisonville,Logan Subdivision,Single Family,Ranch,3,2,1,1965,1528,Public Record,0,Public Record,80X159,Harrisonville,N,,Y,"Full, Inside Entrance",Y,Vinyl Siding,Traditional,Composition,"City Lot, Treed",No,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64701,TRUE,FALSE
2075,703 S Park Drive,"Raymore, MO 64083",2189987,Map,164000,Cass,Raymore,Evan Brook,Single Family,"Raised Ranch, Split Entry",3,2,1,1992,1250,Public Record,300,Owner,75X188,Raymore-Peculiar,Y,"Gas Starter, Great Room, Wood Burning",Y,"Finished, Walk Out",Y,"Brick Trim, Frame",Traditional,Composition,"City Lot, Level, Treed",No,Yes,Pub Maint,Y,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64083,TRUE,FALSE
2076,8301 Hardee Court,"Belton, MO 64012",2198394,Map,164500,Cass,Belton,Bel Ray Estates,Single Family,Split Entry,3,3,0,1975,1280,Public Record,552,Public Record,"11,902",Belton,Y,"Basement, Gas Starter, Wood Burning",Y,"Concrete, Daylight, Finished",Y,"Stone Trim, Vinyl Siding",Traditional,Composition,"City Lot, Corner Lot, Cul-De-Sac, Treed",No,Yes,"Pub Maint, Paved",Y,Central Gas,Central Electric,City/Public - Verify,City/Public,64012,FALSE,TRUE
2077,806 Furlong Drive,"Raymore, MO 64083",2166262,Map,164900,Cass,Raymore,Canter Ridge,Single Family,"Raised Ranch, Split Entry",3,2,1,2000,1463,,0,,72X125,Raymore-Peculiar,Y,"Heat Circulator, Gas Starter, Living Room, Wood Burning",Y,"Concrete, Finished, Walk Out",Y,Frame,Traditional,Composition,City Lot,No,,,Y,"Heatpump/Gas, Natural Gas","Attic Fan, Central Electric",City/Public,City/Public,64083,TRUE,FALSE
2078,505 S Jefferson Street,"Raymore, MO 64083",2224988,Map,165000,Cass,Raymore,Maplewood,Single Family,Split Entry,3,2,0,1969,1100,Public Record,300,Agent,"12,834",Raymore-Peculiar,N,,Y,Finished,Y,Frame,Traditional,Composition,,,,,Y,Central Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
2079,902 S Ash Street,"Garden City, MO 64747",2204398,Map,165000,Cass,Garden City,Smiths Add,Single Family,Ranch,3,2,0,1970,1144,Public Record,0,Agent,"11,200",Sherwood,N,,Y,"Full, Inside Entrance, Not Finished",Y,"Cedar, Vinyl Siding",Traditional,Composition,"City Limits, City Lot, Level, Treed",No,Yes,"Pub Maint, Paved",Y,Natural Gas,Central Electric,City/Public,City/Public,64747,FALSE,TRUE
2080,408 Belmont Drive,"Raymore, MO 64083",2187320,Map,165000,Cass,Raymore,Canter Ridge,Single Family,Raised Ranch,3,2,0,1996,1144,RPR,0,RPR,70X125,Raymore-Peculiar,Y,"Gas Starter, Great Room, Wood Burning",Y,Concrete,Y,Frame,Traditional,Composition,City Lot,No,Yes,Pub Maint,Y,"Forced Air Gas, Natural Gas","Attic Fan, Central Electric",City/Public,City/Public,64083,TRUE,FALSE
2081,24800 S State Route D Highway,"Cleveland, MO 64734",2188889,Map,165000,Cass,Cleveland,Ellis,Single Family,Ranch,3,1,1,1970,1240,Public Record,0,Public Record,"15,000",Cass-Midway,Y,,N,,Y,Vinyl Siding,,Metal,,No,,,Y,Central Gas,Central Electric,City/Public,City/Public,64734,FALSE,TRUE
2082,16005 Richmond Avenue,"Belton, MO 64012",2182756,Map,165000,Cass,Belton,Martinwood,Single Family,Raised Ranch,3,2,0,1979,1388,Public Record,600,Other,100X165,Belton,N,,Y,"Finished, Partial",Y,Frame,Traditional,Composition,City Lot,Unknown,Yes,Pub Maint,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64012,TRUE,FALSE
2083,8210 E 188th Terrace,"Belton, MO 64012",2165450,Map,165000,Cass,Belton,Pickering Place,Single Family,Ranch,2,2,0,1987,1427,RPR,0,RPR,4410,Raymore-Peculiar,N,,N,,Y,"Board/Batten, Frame",Traditional,Composition,"Level, Treed",No,,,Y,Central Electric,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
2084,16012 Hight Avenue,"Belton, MO 64012",2182323,Map,165000,Cass,Belton,Martinwood,Single Family,Split Entry,3,2,0,1985,960,Public Record,480,Public Record,15500,Belton,Y,"Basement, Family Room",Y,"Finished, Full",Y,Brick & Frame,Traditional,Composition,City Lot,No,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
2085,807 Mercury Way,"Raymore, MO 64083",2164039,Map,165000,Cass,Raymore,Morningview,Single Family,Ranch,2,2,0,2005,1394,Public Record,0,Public Record,4545,Raymore-Peculiar,N,,N,Slab,Y,Frame,Traditional,Composition,City Lot,No,,,Y,Heat Pump,Heat Pump,City/Public,City/Public,64083,FALSE,TRUE
2086,16012 Harris Avenue,"Belton, MO 64012",2166354,Map,165000,Cass,Belton,Martinwood,Single Family,Side/Side Split,3,2,0,1985,1405,Owner,112,Owner,.7 ac,Belton,Y,"Living Room, Wood Burning",Y,"Finished, Partial",Y,"Board/Batten, Brick Trim",Traditional,Composition,,No,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
2087,18905 S Ash Street,"Belton, MO 64012",2187733,Map,165000,Cass,Belton,Dickenson Manor,Single Family,Split Entry,3,2,0,2001,1227,Public Record,468,Public Record,79X111,Belton,Y,"Gas, Great Room",Y,"Daylight, Finished",Y,"Board/Batten, Brick Trim",Traditional,Composition,,No,,,Y,Natural Gas,Central Gas,Rural,City/Public,64012,TRUE,FALSE
2088,18901 Ash Street,"Belton, MO 64012",2168964,Map,165000,Cass,Belton,Dickenson Manor,Single Family,Split Entry,4,2,0,1989,1250,Public Record,312,Agent,88X111,Belton,Y,"Gas Starter, Living Room, Wood Burning",Y,"Egress Window, Finished",Y,"Board/Batten, Frame",Traditional,Composition,Corner Lot,No,,Pub Maint,Y,Natural Gas,Central Electric,Rural,City/Public,64012,TRUE,FALSE
2089,903 Bird Avenue,"Harrisonville, MO 64701",2202981,Map,165500,Cass,Harrisonville,Twin Oaks Estates,Single Family,Ranch,3,2,1,1963,1957,Public Record,0,Agent,106X129,Harrisonville,Y,,Y,"Full, Inside Entrance",Y,Frame,Traditional,Composition,"Level, Treed",No,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64701,TRUE,FALSE
2090,15705 Allen Avenue,"Belton, MO 64012",2188854,Map,166000,Cass,Belton,Dikewood Add,Single Family,Ranch,4,2,0,1967,1248,RPR,1100,Other,"15,000",Belton,N,,Y,"Concrete, Finished",Y,Wood Siding,,Composition,,No,,,Y,Central Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
2091,708 Twilight Court,"Raymore, MO 64083",2212424,Map,166000,Cass,Raymore,Morningview,Single Family,Ranch,2,2,0,1997,1274,Public Record,0,Public Record,"4,930",Raymore-Peculiar,N,,N,Slab,Y,"Frame, Wood Siding",A-Frame,Composition,Cul-De-Sac,No,,,Y,"Central Electric, Heat Pump","Central Electric, Heat Pump",City/Public - Verify,City/Public,64083,FALSE,TRUE
2092,1404 Carrol Drive,"Pleasant Hill, MO 64080",2174160,Map,166000,Cass,Pleasant Hill,Knorpps Add To Sunnyside,Single Family,Side/Side Split,3,1,2,1970,1068,Public Record,396,Other,10019,Pleasant Hill,N,,Y,"Concrete, Finished",Y,Frame,Traditional,Composition,"City Lot, Treed",No,,,Y,Natural Gas,"Attic Fan, Central Electric",City/Public,City/Public,64080,FALSE,TRUE
2093,16103 Ann Avenue,"Belton, MO 64012",2167563,Map,166400,Cass,Belton,Norman Tracts,Single Family,Ranch,3,1,1,1956,1006,Public Record,0,Agent,"15,000",Belton,N,,N,Slab,Y,Vinyl Siding,Traditional,Composition,"Level, Treed",No,Yes,Pub Maint,Y,Central Electric,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
2094,504 Hargis Lane,"Belton, MO 64012",2189352,Map,167000,Cass,Belton,Concord Hill Farm,Single Family,Raised Ranch,3,2,0,1972,1223,Public Record,0,Owner,8750,Belton,Y,"Gas Starter, Great Room, Wood Burning",Y,"Concrete, Full",Y,"Frame, Wood Siding",Traditional,Composition,City Lot,Unknown,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
2095,3005 E 171st Street,"Belton, MO 64012",2201204,Map,167000,Cass,Belton,West Belton,Single Family,Ranch,3,1,0,1988,1202,Public Record,0,Public Record,"16,170",Belton,N,,Y,"Full, Not Finished",Y,Metal Siding,Traditional,Composition,City Lot,No,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
2096,511 Miller Drive,"Belton, MO 64012",2191184,Map,167000,Cass,Belton,Timber Hills,Single Family,"Raised Ranch, Split Entry",3,2,0,1984,1080,Public Record,300,Owner,"9,174",Belton,N,,Y,"Concrete, Finished",Y,Frame,Traditional,Composition,,No,Yes,Pub Maint,Y,Central Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
2097,527 Airway Lane,"Belton, MO 64012",2153616,Map,167000,Cass,Belton,Concord Hill Farm,Single Family,Ranch,3,2,0,1987,1197,Public Record,300,Public Record,"11,480",Belton,Y,"Gas, Gas Starter, Great Room",Y,"Finished, Full",Y,"Frame, Vinyl Siding",Traditional,Composition,"City Limits, City Lot, Cul-De-Sac, Level",No,Yes,"Pub Maint, Paved",Y,Forced Air Gas,"Attic Fan, Heat Pump",City/Public,City/Public,64012,FALSE,TRUE
2098,1704 E 231 Street,"Cleveland, MO 64734",2191547,Map,167000,Cass,Cleveland,Holmes Highland Estates,Single Family,Ranch,3,2,0,1995,1512,Public Record,0,Other,9 ac,Cass-Midway,N,,N,"Concrete, Crawl Space",N,Vinyl Siding,Traditional,Metal,"Acreage, Pond(s)",No,,Gravel,Y,"Forced Air Gas, Propane Gas",Central Electric,City/Public,Septic,64734,FALSE,TRUE
2099,808 York Drive,"Belton, MO 64012",2219195,Map,167500,Cass,Belton,Berkshire Estates,Single Family,Ranch,3,2,0,1994,1300,Public Record,0,Public Record,65X120,Belton,N,,Y,"Concrete, Full",Y,"Board/Batten, Stucco & Frame",,Composition,City Lot,No,Yes,Paved,Y,Natural Gas,Central Electric,City/Public,City/Public,64012,TRUE,FALSE
2100,211 N Cleveland Avenue,"Belton, MO 64012",2181279,Map,167500,Cass,Belton,Valley High,Single Family,Side/Side Split,3,2,1,1974,1330,Public Record,0,Public Record,66X120,Belton,Y,"Gas, Living Room",Y,Finished,Y,"Brick Trim, Vinyl Siding",Traditional,Composition,"City Lot, Treed",No,,,Y,Central Gas,"Attic Fan, Central Electric",City/Public,City/Public,64012,TRUE,FALSE
2101,1919 Fairground Drive,"Pleasant Hill, MO 64080",2194288,Map,167620,Cass,Pleasant Hill,Sugarland Estates,Single Family,Raised Ranch,3,2,0,1991,1200,Other,0,Other,"9,000",Pleasant Hill,Y,"Gas, Gas Starter, Great Room",Y,"Full, Not Finished, Walk Out",Y,Frame,Traditional,Composition,"City Limits, City Lot",No,Yes,Pub Maint,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64080,FALSE,TRUE
2102,1004 Renee Lynde Drive,"Pleasant Hill, MO 64080",2211199,Map,168000,Cass,Pleasant Hill,Glen Rae Manor,Single Family,Ranch,3,2,1,1989,1061,RPR,1061,RPR,70X135,Pleasant Hill,Y,"Basement, Heat Circulator, Electric",Y,"Finished, Full, Walk Out",Y,Stone & Frame,Contemporary,Composition,City Lot,No,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64080,TRUE,FALSE
2103,206 W Maple Street,"Raymore, MO 64083",2175859,Map,168000,Cass,Raymore,Raymore,Single Family,Ranch,2,2,0,1967,1352,Public Record,0,Public Record,160X150,Raymore-Peculiar,N,,Y,"Concrete, Garage Entrance, Not Finished",Y,"Brick & Frame, Wood Siding",Traditional,Composition,"Corner Lot, Level",No,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64083,TRUE,TRUE
2104,116 Nanette Street,"Belton, MO 64012",2204716,Map,168500,Cass,Belton,Belton Manor,Single Family,Split Entry,3,1,0,1980,1000,Public Record,480,Public Record,.181 ac,Belton,N,,Y,Concrete,Y,Board/Batten,Traditional,Composition,City Lot,No,,,Y,Central Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
2105,810 Bobwhite Drive,"Peculiar, MO 64078",2214622,Map,169000,Cass,Peculiar,Quail Ridge,Single Family,Ranch,3,1,0,1994,1102,Public Record,551,Other,85X138,Raymore-Peculiar,N,,Y,Finished,Y,"Frame, Wood Siding",Traditional,Composition,City Lot,No,Yes,Pub Maint,Y,"Forced Air Electric, Heat Pump",Central Electric,City/Public,City/Public,64078,TRUE,FALSE
2106,315 Berry Avenue,"Belton, MO 64012",2208104,Map,169000,Cass,Belton,Countryside Manor,Single Family,2 Stories,4,2,1,1967,1792,Public Record,896,Public Record,"10,575",Belton,Y,"Family Room, Gas Starter",Y,"Finished, Garage Entrance, Inside Entrance",Y,"Brick & Frame, Vinyl Siding",Traditional,Composition,"City Lot, Level, Treed",No,,Pub Maint,Y,Forced Air Gas,"Attic Fan, Central Electric",City/Public,City/Public,64012,FALSE,TRUE
2107,511 Mark Lane,"Belton, MO 64012",2171150,Map,169000,Cass,Belton,Concord Hill Farm,Single Family,Raised Ranch,3,2,1,1974,1228,Public Record,552,Public Record,"7,800",Belton,Y,"Family Room, Gas Starter, Great Room, Wood Burning",Y,"Finished, Inside Entrance, Walk Up",Y,Stucco & Frame,Traditional,Composition,"City Lot, Treed",Unknown,Yes,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
2108,29715 E 227th Street,"Pleasant Hill, MO 64080",2213278,Map,169500,Cass,Pleasant Hill,Other,Single Family,"Earth Contact, Ranch",3,1,1,2014,1472,Public Record,0,Public Record,4 ac,East Lynne,Y,Great Room,N,Slab,N,"Frame, Stone Trim",Traditional,Metal,Acreage,No,No,"Pub Maint, Paved",Y,Forced Air Electric,Central Electric,Rural,Septic,64080,FALSE,TRUE
2109,700 Twilight Court,"Raymore, MO 64083",2206881,Map,169950,Cass,Raymore,Morningview,Single Family,Ranch,2,2,0,1997,1394,Public Record,0,Public Record,"6,300",Raymore-Peculiar,N,,N,Slab,Y,Frame,Traditional,Composition,,No,,,Y,Heatpump/Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
2110,532 S Truman Road,"Archie, MO 64725",2212119,Map,170000,Cass,Archie,Country Aire Estates,Single Family,Ranch,3,2,0,2006,1476,RPR,0,Agent,14730,Archie,Y,Family Room,N,Slab,Y,Frame,Traditional,Metal,City Lot,No,,,Y,Heat Pump,"Attic Fan, Heat Pump",City/Public,City/Public,64725,FALSE,TRUE
2111,2201 Crane Street,"Harrisonville, MO 64701",2169647,Map,170000,Cass,Harrisonville,Ridgeview Heights,Single Family,Ranch,3,2,0,1966,1056,RPR,800,Other,.3 ac,Harrisonville,Y,,Y,Garage Entrance,Y,Vinyl Siding,Traditional,Composition,City Lot,No,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64701,FALSE,TRUE
2112,505 E 164th Terrace,"Belton, MO 64012",2185471,Map,170000,Cass,Belton,Holmes Hills,Single Family,Split Entry,3,2,0,1988,1267,Public Record,500,Public Record,15000,Belton,N,,Y,"Concrete, Garage Entrance, Walk Up",Y,Frame,Traditional,Composition,Treed,No,,"Pub Maint, Paved",Y,Central Gas,Central Electric,City/Public,Septic,64012,FALSE,TRUE
2113,15904 Valentine Avenue,"Belton, MO 64012",2224143,Map,170000,Cass,Belton,Norman Tract,Single Family,Split Entry,3,2,0,1998,1066,Public Record,0,Public Record,11000,Belton,Y,Family Room,Y,"Concrete, Inside Entrance",Y,Vinyl Siding,Traditional,Composition,Corner Lot,Unknown,,,Y,Central Gas,Central Electric,City/Public,City/Public,64012,TRUE,FALSE
2114,705 E Saturn Drive,"Raymore, MO 64083",2205705,Map,170000,Cass,Raymore,Morningview,Single Family,Ranch,2,2,0,1995,1326,Public Record,0,Public Record,5000,Raymore-Peculiar,N,,N,Slab,Y,"Frame, Wood Siding",Traditional,Composition,Level,Unknown,,Priv Maint,Y,"Central Electric, Heat Pump","Central Electric, Heat Pump",City/Public,City/Public,64083,FALSE,TRUE
2115,901 East Street,"Garden City, MO 64747",2211010,Map,170000,Cass,Garden City,Smiths Add,Single Family,Ranch,3,2,0,2003,1226,Public Record,0,Public Record,100X190,Sherwood,N,,N,"Concrete, Crawl Space",Y,Frame,Traditional,Composition,,No,,,Y,Heat Pump,Heat Pump,City/Public,City/Public,64747,TRUE,FALSE
2116,1103 S Butler Drive,"Harrisonville, MO 64701",2176118,Map,170000,Cass,Harrisonville,Jacks Add,Single Family,Ranch,3,2,0,1962,1792,Appraisal,1568,Public Record,"14,848",Harrisonville,N,,Y,"Concrete, Full, Garage Entrance",Y,"Frame, Stone Trim",Traditional,Composition,"Level, Treed",No,,,Y,Forced Air Gas,"Attic Fan, Central Electric",City/Public,City/Public,64701,FALSE,TRUE
2117,627 Park Avenue,"Belton, MO 64012",2200921,Map,170000,Cass,Belton,Spanish Villa,Single Family,Ranch,3,2,0,1984,1212,Public Record,700,Other,9794,Belton,N,,Y,Full,Y,"Stone Trim, Vinyl Siding",Traditional,Composition,"City Lot, Treed",No,Yes,Paved,Y,Central Electric,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
2118,522 S Saturn Drive,"Raymore, MO 64083",2211718,Map,170000,Cass,Raymore,Morningview,Single Family,Ranch,2,2,0,1998,1184,Public Record,0,Public Record,50X100,Raymore-Peculiar,N,,N,Slab,Y,Frame,Traditional,Composition,City Lot,Unknown,Yes,Pub Maint,Y,Central Electric,"Attic Fan, Central Electric",City/Public,City/Public,64083,TRUE,FALSE
2119,15603 Lawrence Avenue,"Belton, MO 64012",2203854,Map,170000,Cass,Belton,Dikewood Add,Single Family,Raised Ranch,3,2,0,1992,1132,Public Record,0,Public Record,100X150,Belton,Y,Living Room,Y,"Concrete, Full, Stubbed for Bath",Y,Board/Batten,Traditional,Composition,City Lot,No,Yes,"Pub Maint, Paved",Y,Central Gas,Central Electric,City/Public,City/Public,64012,TRUE,FALSE
