,Unnamed: 0,address,description,sqft,lot_size,bedrooms,bathrooms,half_baths,sale_price,yr_built,town_Archie,town_Belton,town_Cleveland,town_Creighton,town_Drexel,town_East Lynne,town_Freeman,town_Garden City,town_Greenwood,town_Harrisonville,town_Kingsville,town_Lake Winnebago,town_Lees Summit,town_Loch Lloyd,town_Peculiar,town_Pleasant Hill,town_Raymore,town_Strasburg
1036,1036,"607 Valley ViewRaymore, MO 64083","3Bedrms2Full Bath(s)0Half Bath(s)1,627SqftBuilt in1991Single Family",1627,0.25,3,2,0,170000,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1037,1037,"1201 Holly AvenueHarrisonville, MO 64701","3Bedrms2Full Bath(s)0Half Bath(s)1,958SqftBuilt in1990Single Family",1958,0.25,3,2,0,170050,1990,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1038,1038,"16402 Rebecca LaneBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,718SqftBuilt in1985Single Family",1718,0.25,3,2,0,170500,1985,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1039,1039,"9008 E 235th StreetPeculiar, MO 64078","4Bedrms2Full Bath(s)1Half Bath(s)2,901SqftBuilt in1998Single Family",2901,0.35,4,2,1,170500,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1040,1040,"810 S Scott AvenueBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,414SqftBuilt in19880.18AcresSingle Family",1414,0.18,3,2,0,171000,1988,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1042,1042,"3006 Prairie View DriveHarrisonville, MO 64701","3Bedrms2Full Bath(s)0Half Bath(s)1,410SqftBuilt in2002Single Family",1410,0.2,3,2,0,171250,2002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1043,1043,"804 S Cedar StreetBelton, MO 64012","3Bedrms3Full Bath(s)0Half Bath(s)1,546SqftBuilt in19980.19AcresSingle Family",1546,0.2,3,3,0,171500,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1045,1045,"19006 S Ash StreetBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,396SqftBuilt in2000Single Family",1396,0.2,3,2,0,172000,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1046,1046,"17228 Chula Vista DriveBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,175SqftBuilt in1960Single Family",1175,0.2,3,2,0,172000,1960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1049,1049,"534 Saturn DriveRaymore, MO 64083","2Bedrms2Full Bath(s)0Half Bath(s)1,560SqftBuilt in1999Single Family",1560,0.25,2,2,0,172800,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1050,1050,"705 Twilight CourtRaymore, MO 64083","2Bedrms2Full Bath(s)0Half Bath(s)1,394SqftBuilt in1997Single Family",1394,0.2,2,2,0,173000,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1051,1051,"704 N King AvenueHarrisonville, MO 64701","3Bedrms2Full Bath(s)1Half Bath(s)1,728SqftBuilt in1976Single Family",1728,0.25,3,2,1,173000,1976,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1052,1052,"423 Rachael CircleRaymore, MO 64083","3Bedrms2Full Bath(s)0Half Bath(s)1,390SqftBuilt in2002Single Family",1390,0.2,3,2,0,174000,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1053,1053,"510 Buena Vista DriveBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,962SqftBuilt in1985Single Family",1962,0.25,3,2,0,174250,1985,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1054,1054,"516 Trevis AvenueBelton, MO 64012","3Bedrms2Full Bath(s)1Half Bath(s)1,610SqftBuilt in1971Single Family",1610,0.25,3,2,1,174265,1971,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1055,1055,"603 Fall Creek DriveBelton, MO 64012","3Bedrms2Full Bath(s)1Half Bath(s)1,560SqftBuilt in2007Single Family",1560,0.25,3,2,1,174500,2007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1056,1056,"113 N Oxford DriveRaymore, MO 64083","4Bedrms3Full Bath(s)0Half Bath(s)2,150SqftBuilt in2002Single Family",2150,0.35,4,3,0,174500,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1057,1057,"713 Canter StreetRaymore, MO 64083","3Bedrms2Full Bath(s)0Half Bath(s)1,300SqftBuilt in1996Single Family",1300,0.2,3,2,0,174572,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1059,1059,"514 S Wilson StreetArchie, MO 64725","3Bedrms2Full Bath(s)0Half Bath(s)1,662SqftBuilt in2011Single Family",1662,0.25,3,2,0,174900,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1060,1060,"327 N Lake StreetPleasant Hill, MO 64080","3Bedrms1Full Bath(s)1Half Bath(s)1,837SqftBuilt in1920Single Family",1837,0.25,3,1,1,175000,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1061,1061,"11006 Highview RoadPeculiar, MO 64078","3Bedrms2Full Bath(s)1Half Bath(s)2,060SqftBuilt in2006Single Family",2060,0.35,3,2,1,175000,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1062,1062,"1905 N Lexington StreetHarrisonville, MO 64701","3Bedrms2Full Bath(s)0Half Bath(s)1,200SqftBuilt in19850.75AcresSingle Family",1200,0.75,3,2,0,175000,1985,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1063,1063,"16509 McKinley StreetBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,546SqftBuilt in1975Single Family",1546,0.25,3,2,0,175000,1975,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1064,1064,"806 S Butler DriveHarrisonville, MO 64701","3Bedrms3Full Bath(s)0Half Bath(s)1,932SqftBuilt in1992Single Family",1932,0.25,3,3,0,175000,1992,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1065,1065,"811 Autumn DriveBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,700SqftBuilt in1990Single Family",1700,0.25,3,2,0,175000,1990,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1066,1066,"822 Heather DriveBelton, MO 64012","3Bedrms2Full Bath(s)1Half Bath(s)1,700SqftBuilt in1989Single Family",1700,0.25,3,2,1,175000,1989,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1067,1067,"16211 Slater AvenueBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,272SqftBuilt in1987Single Family",1272,0.2,3,2,0,175000,1987,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
